Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
2005-09-16,2005-09-29,50.230001,52.34,49.949998,54.56,147751100,159211500,85425900,281386000
2005-09-30,2005-10-13,52.329999,53.739998,47.870001,55.349998,132908300,466393900,126876400,674371600
2005-10-14,2005-10-27,54.030002,55.41,51.210001,57.560002,258888000,102885300,102885300,339440500
2005-10-28,2005-11-10,56.040001,61.179998,54.170002,62.319998,192446800,166336100,118441400,235211200
2005-11-11,2005-11-25,61.54,69.339998,60.909999,69.540003,106362200,98753200,92483300,196128800
2005-11-28,2005-12-09,70.720003,74.329999,67.349999,74.829997,254629900,138850600,138850600,254629900
2005-12-12,2005-12-23,74.869998,73.350003,70.27,75.459998,131248600,57464400,57464400,362679100
2005-12-27,2006-01-10,73.999998,80.860002,70.340001,81.889998,147647500,569967300,99528800,569967300
2006-01-11,2006-01-25,83.840003,74.200003,73.250001,86.400002,373448600,318946600,194076400,423962000
2006-01-26,2006-02-08,74.529997,68.809999,66.000002,76.599998,295346800,238278600,130296600,412941900
2006-02-09,2006-02-23,69.099999,71.75,62.899998,73.000002,287441000,214229400,143999800,440119400
2006-02-24,2006-03-09,72.140002,63.930001,63.809999,72.889999,133686000,199826200,133686000,316745100
2006-03-10,2006-03-23,64.049997,60.160002,59.610003,68.040002,260785700,356956600,151360300,356956600
2006-03-24,2006-04-06,60.249997,71.240002,57.669998,72.05,267995000,665942200,203839300,665942200
2006-04-07,2006-04-21,70.930001,67.039999,64.349998,71.210001,386309700,197246700,180484500,416745700
2006-04-24,2006-05-05,66.850001,71.890003,65.499997,72.889999,176757000,140977900,132265700,215105100
2006-05-08,2006-05-19,72.990002,64.510001,62.820003,73.8,148712900,246466500,114972200,246466500
2006-05-22,2006-06-05,63.87,59.999998,58.690001,65.189997,179743900,151446400,108237500,320244400
2006-06-06,2006-06-19,60.220003,57.200001,56.690002,61.56,181509300,176143800,176143800,349370700
2006-06-20,2006-07-03,57.609997,57.949998,55.41,60.170002,168243600,48692700,48692700,241408300
2006-07-05,2006-07-18,57.15,52.899999,50.16,57.600003,129560200,250112100,129560200,312476500
2006-07-19,2006-08-01,52.960001,67.180002,52.36,68.630002,347685800,177941400,147267400,493036600
2006-08-02,2006-08-15,67.65,66.449999,62.579997,70.0,137692100,215338200,137692100,463216600
2006-08-16,2006-08-29,67.1,66.48,65.120002,69.049998,195321000,236833100,131556600,236833100
2006-08-30,2006-09-13,67.339999,74.200003,66.659997,74.319999,170035600,286534500,102123700,421171800
2006-09-14,2006-09-27,73.719998,76.41,72.579999,77.779998,200432400,202593300,166278000,275737000
2006-09-28,2006-10-11,77.02,73.23,72.599999,77.519999,180902400,142963800,101453100,207270700
2006-10-12,2006-10-25,73.610003,81.68,73.600002,82.000001,148213800,121303700,115803100,378244300
2006-10-26,2006-11-08,81.899999,82.449998,77.789998,82.689997,108189200,172729200,107972200,172729200
2006-11-09,2006-11-22,82.900002,90.309998,82.119997,90.750001,230763400,167985300,93466100,230763400
2006-11-24,2006-12-07,89.53,87.040003,86.9,93.160003,129669400,251206900,129669400,289270800
2006-12-08,2006-12-21,87.23,82.900002,82.199999,89.999997,196069300,225899800,124945100,256655000
2006-12-22,2007-01-09,83.460001,92.570003,76.770001,92.979999,153325900,837324600,122672200,837324600
2007-01-10,2007-01-24,94.749999,86.700002,85.510001,97.800002,738220000,231953400,231953400,738220000
2007-01-25,2007-02-07,87.109998,86.150002,82.860001,88.500003,226493400,266706300,144492600,266706300
2007-02-08,2007-02-22,85.429999,89.509999,83.210002,90.810002,169757700,209556200,90915300,288828400
2007-02-23,2007-03-08,89.159998,87.999998,82.999997,90.339998,129473400,127752800,127752800,353882200
2007-03-09,2007-03-22,88.800003,93.960001,87.399998,94.359997,112959000,140373100,112959000,216972700
2007-03-23,2007-04-05,93.35,94.679997,92.230001,96.83,112721000,88879000,88879000,235584300
2007-04-09,2007-04-20,95.210003,90.969999,89.600001,95.299998,103335400,130694900,88116700,187980100
2007-04-23,2007-05-04,91.59,100.809998,91.3,102.500003,195072500,95496800,95496800,434444500
2007-05-07,2007-05-18,101.079997,110.020001,101.010002,110.640002,215389300,155336300,155336300,299314400
2007-05-21,2007-06-04,110.310001,121.33,110.050002,122.170006,159973100,221668300,143102400,369611200
2007-06-05,2007-06-18,121.410002,125.090006,115.399998,127.609997,230196400,227651200,202804700,478769900
2007-06-19,2007-07-02,124.689997,121.259998,118.719994,125.090006,235756500,248715600,157969000,336251300
2007-07-03,2007-07-17,122.000002,138.910002,121.500004,139.98,290620400,177489900,176152200,363262900
2007-07-18,2007-07-31,138.189999,131.759998,131.520006,148.920004,189214200,440598200,183222900,546657300
2007-08-01,2007-08-14,133.640001,124.029995,120.300003,137.240004,437539200,184751700,169796900,437539200
2007-08-15,2007-08-28,122.740005,126.820005,111.619998,135.370001,248213000,294841400,176859900,466672500
2007-08-29,2007-09-12,129.879995,136.849995,129.540001,145.84,291715200,255692500,219221800,582055600
2007-09-13,2007-09-26,138.83,152.769999,136.200006,154.999996,164040800,243817000,151830000,298137700
2007-09-27,2007-10-10,153.769995,166.789999,152.320002,171.110004,164549700,166897500,153775300,276071600
2007-10-11,2007-10-24,169.489994,185.929996,153.209995,188.600004,410998000,322120400,205919000,448791000
2007-10-25,2007-11-07,184.869999,186.300005,179.999994,192.680004,243400500,248581900,135138500,250528600
2007-11-08,2007-11-21,186.67,168.459997,150.630003,186.900005,472594500,304452400,288607200,472594500
2007-11-23,2007-12-06,171.999998,189.949995,169.75,190.099998,116439400,224952700,116439400,329257600
2007-12-07,2007-12-20,190.539995,187.209999,178.600002,196.830006,266516600,193514300,168578200,306415200
2007-12-21,2008-01-07,190.119999,177.639994,170.229998,202.959999,248490200,518048300,120050700,518048300
2008-01-08,2008-01-22,180.139997,155.639997,146.000004,182.459997,380954000,608688500,275112600,608688500
