Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
1980-12-17,1980-12-31,25.875,34.125,25.875,36.124999,21610400,8937600,8937600,23290400
1981-01-02,1981-01-15,34.499999,31.250001,30.250001,34.750001,5415200,3516800,3516800,13921600
1981-01-16,1981-01-29,31.125001,29.875,29.875,33.125,3348800,10976000,2805600,10976000
1981-01-30,1981-02-12,28.500001,26.125,26.125,28.875,11547200,3640000,1982400,11547200
1981-02-13,1981-02-27,25.75,26.500001,23.75,27.5,2788800,3690400,2710400,6092800
1981-03-02,1981-03-13,26.625,22.25,21.624999,26.75,2940000,57825600,1344000,57825600
1981-03-16,1981-03-27,23.125,24.750001,23.125,27.0,9307200,3063200,1764000,10936800
1981-03-30,1981-04-10,24.750001,27.875,24.249999,28.0,2475200,8366400,2475200,8517600
1981-04-13,1981-04-27,27.875,28.75,25.0,29.375001,4015200,9632000,1663200,14504000
1981-04-28,1981-05-11,28.374999,27.375001,27.375001,28.625001,8047200,2984800,1976800,8047200
1981-05-12,1981-05-26,27.375001,31.250001,26.874999,31.625,1064000,21336000,1041600,21336000
1981-05-27,1981-06-09,33.000001,31.125001,30.5,33.25,37374400,29898400,9861600,37374400
1981-06-10,1981-06-23,31.5,29.625,29.124999,33.000001,6305600,3757600,2710400,35940800
1981-06-24,1981-07-08,29.124999,26.125,24.875,29.625,5756800,4155200,2648800,42616000
1981-07-09,1981-07-22,24.249999,22.625,22.25,25.999999,8220800,5667200,2738400,13792800
1981-07-23,1981-08-05,23.25,25.875,23.25,25.999999,8612800,4373600,2475200,8612800
1981-08-06,1981-08-20,25.375,21.624999,21.375,25.375,2632000,4278400,2301600,17864000
1981-08-21,1981-09-03,20.375001,20.625,18.875,21.875,10477600,9368800,4844000,10477600
1981-09-04,1981-09-18,20.5,17.750001,17.625,20.5,3813600,6580000,3813600,8702400
1981-09-21,1981-10-02,17.875,16.5,14.250001,18.0,12258400,11261600,4575200,23671200
1981-10-05,1981-10-16,17.0,18.25,16.875001,19.500001,10774400,9116800,6837600,13630400
1981-10-19,1981-10-30,18.625001,20.0,18.625001,20.125,5146400,13182400,5146400,21397600
1981-11-02,1981-11-13,20.0,18.124999,17.875,20.125,9228800,5252800,4188800,9979200
1981-11-16,1981-11-30,18.0,18.625001,17.875,19.125,5639200,5992000,5538400,13137600
1981-12-01,1981-12-14,18.625001,18.124999,18.124999,19.25,5846400,6311200,5107200,34288800
1981-12-15,1981-12-29,18.625001,21.250001,18.625001,23.000001,7828800,6059200,6059200,17931200
1981-12-30,1982-01-13,22.125001,17.875,17.875,22.25,8047200,10438400,8047200,17813600
1982-01-14,1982-01-27,18.75,19.500001,18.75,20.875,6428800,7840000,5303200,13876800
1982-01-28,1982-02-10,20.125,18.75,18.5,20.5,9900800,9699200,5510400,14476000
1982-02-11,1982-02-25,18.625001,18.25,18.25,18.999999,6132000,7700000,3399200,9486400
1982-02-26,1982-03-11,18.25,16.25,16.25,18.5,4356800,5644800,4356800,21733600
1982-03-12,1982-03-25,15.375,16.5,14.125,18.0,11636800,21028000,11636800,21028000
1982-03-26,1982-04-08,16.374999,17.5,16.25,17.875,12695200,5997600,5997600,21660800
1982-04-12,1982-04-23,17.5,15.375,15.375,17.625,11076800,12073600,10320800,41070400
1982-04-26,1982-05-07,15.75,16.25,14.624999,16.374999,14481600,21179200,13484800,69350400
1982-05-10,1982-05-21,16.125,14.250001,14.0,16.125,7901600,9710400,6904800,30508800
1982-05-24,1982-06-07,14.375,13.125,13.125,14.5,7996800,9290400,4799200,12891200
1982-06-08,1982-06-21,13.125,12.875,12.75,13.5,7851200,7134400,4967200,13658400
1982-06-22,1982-07-06,13.375,11.5,11.5,14.0,4390400,21924000,4390400,21924000
1982-07-07,1982-07-20,11.5,14.250001,11.0,14.375,7593600,12426400,7593600,41081600
1982-07-21,1982-08-03,14.250001,13.0,12.875,14.5,17925600,22467200,4575200,23598400
1982-08-04,1982-08-17,13.0,14.250001,12.25,14.5,20966400,11933600,6490400,28061600
1982-08-18,1982-08-31,14.250001,18.0,14.250001,18.124999,31264800,35140000,11905600,89269600
1982-09-01,1982-09-15,17.625,18.75,17.375,18.999999,20641600,17936800,14016800,26135200
1982-09-16,1982-09-29,18.375,18.375,17.750001,18.875,20092800,16391200,9167200,44548000
1982-09-30,1982-10-13,18.375,23.5,18.0,24.750001,18670400,49711200,11564000,78433600
1982-10-14,1982-10-27,23.5,25.124999,22.625,26.75,44665600,47790400,23587200,60524800
1982-10-28,1982-11-10,25.124999,30.999999,24.750001,31.874999,54420800,50696800,26090400,82269600
1982-11-11,1982-11-24,30.999999,29.500001,28.125,34.0,30788800,18435200,18435200,45505600
1982-11-26,1982-12-09,29.500001,31.5,28.0,34.875,25496800,48664000,11894400,51710400
1982-12-10,1982-12-23,30.999999,32.000001,27.625,32.000001,41871200,21744800,17444000,67513600
1982-12-27,1983-01-07,32.000001,27.5,27.5,33.750001,15467200,43013600,12415200,55927200
1983-01-10,1983-01-21,27.5,37.375001,27.25,39.000001,68835200,100648800,347200,176960000
1983-01-24,1983-02-04,37.375001,43.999999,34.625001,45.375,78853600,53586400,26079200,99433600
1983-02-07,1983-02-18,43.999999,45.375,40.750001,47.25,35728000,28722400,28722400,59180800
1983-02-22,1983-03-07,45.625,43.75,42.500001,48.625001,49196000,38169600,26488000,49196000
1983-03-08,1983-03-21,43.500001,43.999999,40.125,44.124999,55160000,26006400,11037600,55160000
1983-03-22,1983-04-05,43.999999,40.375,40.125,45.125001,25250400,30525600,14515200,35190400
1983-04-06,1983-04-19,40.375,46.5,38.625,47.875001,53496800,58469600,28750400,58469600
1983-04-20,1983-05-03,46.5,48.499999,46.5,52.749999,72083200,26499200,19852000,77078400
1983-05-04,1983-05-17,48.499999,51.874999,48.499999,55.750001,32278400,38589600,12241600,38589600
1983-05-18,1983-06-01,51.874999,58.125002,51.874999,61.000001,39250400,24522400,11384800,39250400
1983-06-02,1983-06-15,58.125002,54.375,53.25,63.249999,19857600,48339200,9357600,48339200
1983-06-16,1983-06-29,54.624999,49.125,45.749999,57.500001,30721600,73595200,11911200,87292800
1983-06-30,1983-07-14,49.125,46.000001,45.375,50.0,27641600,18726400,17544800,43064000
1983-07-15,1983-07-28,46.000001,34.0,34.0,46.375,16990400,67620000,16990400,79346400
1983-07-29,1983-08-11,34.0,33.750001,31.749999,36.375001,55081600,22545600,19202400,73029600
1983-08-12,1983-08-25,33.750001,30.5,29.999999,34.750001,18659200,47443200,14649600,47443200
1983-08-26,1983-09-09,30.5,30.625,29.999999,39.749999,23296000,53172000,23296000,96213600
1983-09-12,1983-09-26,30.625,24.875,24.375,33.499999,66578400,192192000,26588800,192192000
1983-09-27,1983-10-10,24.875,19.75,18.375,25.0,104277600,129281600,29467200,129281600
1983-10-11,1983-10-24,19.75,21.125,17.875,24.0,63190400,64848000,32922400,118154400
1983-10-25,1983-11-07,21.125,21.0,20.0,24.125,42112000,38029600,20300000,82096000
1983-11-08,1983-11-21,19.500001,21.5,17.249999,21.624999,305379200,26252800,19975200,305379200
1983-11-22,1983-12-06,21.5,20.5,19.75,21.75,26297600,12997600,9324000,28588000
